Re^-2phi^-2,0.0
Re^-2phi^-1,7.600006876928868e-05
Re^-2phi^0,0.0
Re^-2phi^1,0.0
Re^-2phi^2,0.0
Re^-1phi^-2,0.0
Re^-1phi^-1,12.329343076124472
Re^-1phi^0,12.604225236563806
Re^-1phi^1,0.0
Re^-1phi^2,0.0
Re^0phi^-2,0.0
Re^0phi^-1,0.0
Re^0phi^0,0.0
Re^0phi^1,0.0
Re^0phi^2,0.0
Re^1phi^-2,0.0
Re^1phi^-1,0.0
Re^1phi^0,0.0
Re^1phi^1,0.0
Re^1phi^2,0.0
Re^2phi^-2,0.0
Re^2phi^-1,0.0
Re^2phi^0,0.0
Re^2phi^1,0.0
Re^2phi^2,0.0
Re^-2(phi-1)^1theta^0,0.0
Re^-1(phi-1)^1theta^0,0.0
Re^0(phi-1)^1theta^0,0.0
Re^1(phi-1)^1theta^0,0.0
Re^2(phi-1)^1theta^0,0.0
Re^-2(phi-1)^1theta^2,1.6767625617517758e-06
Re^-1(phi-1)^1theta^2,0.4977332403437874
Re^0(phi-1)^1theta^2,0.0
Re^1(phi-1)^1theta^2,0.0
Re^2(phi-1)^1theta^2,0.0
Re^-2(phi-1)^1theta^4,0.0
Re^-1(phi-1)^1theta^4,0.0
Re^0(phi-1)^1theta^4,0.0
Re^1(phi-1)^1theta^4,0.0
Re^2(phi-1)^1theta^4,0.0
Re^-2(phi-1)^2theta^0,0.0
Re^-1(phi-1)^2theta^0,0.0
Re^0(phi-1)^2theta^0,0.0
Re^1(phi-1)^2theta^0,0.0
Re^2(phi-1)^2theta^0,0.0
Re^-2(phi-1)^2theta^2,0.0
Re^-1(phi-1)^2theta^2,0.0
Re^0(phi-1)^2theta^2,0.0
Re^1(phi-1)^2theta^2,0.0
Re^2(phi-1)^2theta^2,0.0
Re^-2(phi-1)^2theta^4,0.0
Re^-1(phi-1)^2theta^4,0.0
Re^0(phi-1)^2theta^4,0.0
Re^1(phi-1)^2theta^4,0.0
Re^2(phi-1)^2theta^4,0.0
